eid,n,t,w
1154,bonne,1,1048
1166,galoche,1,100
1175,photométrie,1,52
1179,sans relâche,1,54
1180,anecdotique,1,138
1182,Mimi Pinson,1,52
1183,Florange,1,56
1190,unipolaire,1,52
1192,se griser,1,54
1193,coreligionnaire,1,52
1197,passereaux,1,52
1200,arrière-petit-fils,1,52
1202,lettrage,1,58
1203,dictature,1,406
1204,myope comme une taupe,1,62
1206,Sainte-Beuve,1,52
1212,adultération,1,52
1216,Alpes-Maritimes,1,60
1217,tellurique,1,52
1223,catch,1,168
1227,Wolinski,1,74
1230,resserre,1,52
1240,patibulaire,1,56
1242,faire la bête à deux dos,1,96
1257,sans aucun doute,1,128
1266,transplanter,1,64
1267,badiane,1,58
1271,faussement,1,114
1274,libellule,1,116
1277,coing,1,68
1278,tératologie,1,58
1284,se confondre en excuses,1,70
1288,ohé,1,60
1289,littéral,1,130
1290,possibilité,1,203
1292,gin,1,138
1299,enlacement,1,56
1300,intéressé,1,74
1303,bredouillement,1,54
1305,conventionnel,1,70
1309,porte-drapeau,1,52
1310,opossum,1,52
1316,Grèce antique,1,222
1320,réserves,1,74
1321,reconnaissant,1,52
1322,larmoyer,1,94
1323,tétraédrique,1,52
1325,pluralité,1,78
1326,Beckett,1,62
1332,émondoir,1,52
1335,venger,1,62
1338,Fleury-Mérogis,1,54
1344,Augsbourg,1,54
1345,élastine,1,52
1346,décoration,1,618
1350,Kabylie,1,52
1353,se dégonfler,1,54
1358,empiler,1,116
1359,sur le champ,1,56
1370,embarquement,1,108
1373,barman,1,240
1376,photographie,1,744
1378,absorption,1,68
1380,Horgen,1,52
1382,se respecter,1,52
1384,vivant,1,636
1386,divulgué,1,58
1387,feld-maréchal,1,52
1388,schizonévrose,1,56
1390,sans-gêne,1,66
1399,deuzio,1,54
1400,croque-monsieur,1,102
1402,rhinopharyngite,1,56
1404,astiquer,1,114
1409,empoisonner,1,428
1410,numérologie,1,60
1415,répondre,1,270
1416,trois-mâts,1,118
1418,régiment,1,116
1423,transsibérien,1,52
1428,décoffrer,1,62
1437,nécrophilie,1,58
1440,défoncé,1,70
1442,transmigrer,1,52
1446,souffre-douleur,1,92
1447,sandwich,1,974
1448,donjon,1,376
1449,diamantaire,1,54
1451,couvert,1,872
1452,installateur,1,72
1453,Léger,1,54
1458,rixe,1,130
1461,filmologie,1,52
1470,immersion,1,78
1475,préscolaire,1,54
1476,cage thoracique,1,160
1483,loquace,1,84
1484,brahmane,1,62
1485,instituteurs,1,70
1486,boucan,1,84
1496,patrie,1,110
1499,hippique,1,68
1500,portage,1,76
1502,desmosome,1,52
1504,vanter,1,78
1507,une fois,1,78
1508,lapin de garenne,1,66
1509,incamérer,1,52
1510,Lannion,1,52
1511,achalander,1,52
1513,Amalthée,1,56
1519,dire non,1,94
1522,être hors de soi,1,62
1523,Yama,1,74
1527,endetter,1,54
1530,incendie,1,1158
1531,cuvette,1,234
1533,se torcher,1,60
1538,remblayer,1,58
1540,cotonner,1,54
1544,javelliser,1,64
1545,baudrier,1,62
1555,canevas,1,58
1557,Robin des Bois,1,60
1560,Dakin,1,52
1561,national,1,134
1562,phylogénique,1,52
1569,promo,1,58
1575,Rohan,1,54
1581,don Juan,1,52
1582,muses,1,66
1584,Trajan,1,112
1587,exfoliation,1,54
1590,pioche,1,574
1592,chambrée,1,52
1595,bouclier,1,166
1603,labourable,1,52
1609,rouscailler,1,62
1610,pépiement,1,52
1611,félicitations,1,164
1614,intuition,1,116
1615,transfusé,1,54
1624,ratonner,1,62
1628,trachéite,1,64
1632,frelon,1,180
1633,apercevoir,1,178
1644,désargenter,1,64
1645,recherche de paternité,1,60
1650,roucoulade,1,68
1654,alcalino-terreux,1,52
1662,thanatopraxie,1,64
1666,envisagé,1,56
1667,égouttement,1,58
1673,Télémaque,1,152
1674,infréquenté,1,54
1681,jansénien,1,52
1688,modérer,1,64
1689,nomenklatura,1,74
1692,agrémenté,1,52
1698,Calvin,1,80
1718,diététique,1,230
1719,Rodez,1,80
1722,bette,1,68
1723,pirouette,1,80
1725,train de marchandises,1,98
1726,motoriser,1,198
1727,téléguider,1,52
1729,indépendamment,1,58
1730,faire front,1,54
1731,médecine-ball,1,52
1735,revendeur,1,68
1737,motorisé,1,188
1740,différentiable,1,56
1742,clip,1,66
1743,avec promptitude,1,54
1747,tartrate,1,54
1748,incommensurable,1,64
1749,glorification,1,64
1751,Allen Ginsberg,1,56
1753,désensibilisation,1,58
1755,évaporé,1,86
1756,extraterrestre,1,84
1759,plus,1,278
1763,frauduleux,1,60
1764,autochtone,1,98
1768,se communiquer,1,52
1770,assidûment,1,72
1771,inélégance,1,52
1773,punitif,1,52
1777,migrer,1,72
1778,montreur,1,58
1781,smack,1,88
1796,pollution atmosphérique,1,66
1798,clonage,1,82
1799,danseur de corde,1,54
1800,Norodom Sihanouk,1,60
1802,nécromancie,1,236
1803,Vacances romaines,1,52
1807,tsariste,1,52
1809,froufrouter,1,54
1810,candidature,1,80
1811,Gobelins,1,52
1812,Vipère au poing,1,172
1815,mono,1,68
1816,héraldique,1,80
1817,domicilier,1,58
1833,calorique,1,92
1837,démunir,1,54
1843,walkman,1,92
1847,Gervaise,1,66
1849,rodomontade,1,52
1853,carnier,1,56
1862,acétylcholine,1,54
1864,convulsion,1,102
1865,géophyte,1,52
1866,inémotivité,1,54
1867,basophile,1,54
1870,mener,1,402
1874,Marcel Aymé,1,68
1876,com,1,54
1877,désertifier,1,52
1880,sen,1,54
1881,alumine,1,62
1882,intégriste,1,102
1887,coprophile,1,52
1890,représentatif,1,52
1893,calculabilité,1,76
1902,Belfort,1,58
1906,palmier,1,184
1909,tatoueur,1,70
1911,volailler,1,102
1912,oncle,1,440
1916,Vygotsky,1,52
1921,Honduras,1,54
1927,Esther,1,52
1930,écailleux,1,66
1934,automotrice,1,52
1936,enjouement,1,72
1937,fragilité,1,240
1939,tortorer,1,52
1944,épilatoire,1,64
1950,rabelaisien,1,58
1953,canne à sucre,1,170
1957,chiasmatique,1,54
1960,galbe,1,104
1961,vit,1,60
1963,Alfred Hitchcock,1,170
1965,tenir conseil,1,52
1971,vérolé,1,54
1973,timbres,1,76
1974,réprimander,1,152
1975,mercantile,1,60
1985,intensive,1,56
1988,voûte céleste,1,58
1989,Hamlet,1,236
1990,somnoler,1,164
1994,environs,1,76
1995,fond de teint,1,170
1996,protège-tibia,1,80
1997,spore,1,72
2000,israélite,1,62
2003,twist,1,108
2004,aptitude,1,114
2005,hématurie,1,56
2007,homard,1,316
2008,hune,1,58
2013,huée,1,70
2022,cordage,1,194
2026,journal,1,2234
2027,empoussiérer,1,52
2028,oligo-éléments,1,64
2030,Prométhée,1,62
2033,lion marin,1,70
2034,mobilisateur,1,54
2037,Lumière,1,60
2038,nominale,1,52
2041,métrique,1,54
2044,enluminer,1,58
2045,uriner,1,310
2047,nacré,1,60
2049,pocharder,1,54
2050,mélodie,1,300
2053,rhô,1,54
2054,boue,1,322
2056,à la queue,1,58
2057,charges,1,64
2060,tilapia,1,64
2068,restoroute,1,56
2076,grève de la faim,1,82
2077,réservoir,1,352
2078,oeil poché,1,54
2080,tintamarre,1,72
2089,loch,1,52
2090,funambule,1,88
2097,hypermnésie,1,54
2100,anglo-arabe,1,52
2101,brillamment,1,62
2102,molybdène,1,54
2103,pyorrhée,1,56
2104,Louis-Ferdinand Céline,1,94
2111,ma tante,1,54
2115,pénitence,1,100
2117,Sabine,1,52
2118,litige,1,102
2120,préhension,1,106
2122,étêté,1,54
2125,mésalliance,1,58
2146,festoyer,1,126
2149,gâteau,1,2760
2154,redresseur de torts,1,52
2155,en sourdine,1,54
2156,multi,1,52
2157,graminées,1,52
2160,tain,1,160
2161,vaincu,1,138
2163,araire,1,56
2164,mercanti,1,52
2165,paléobotanique,1,54
2168,correspondant,1,102
2170,baldaquin,1,60
2172,encoignure,1,56
2174,inconfiance,1,58
2175,choquant,1,98
2176,écervelé,1,92
2180,cathédrale,1,466
2192,myosotis,1,58
2193,urée,1,84
2195,urne,1,468
2197,bourbier,1,52
2198,déchets nucléaires,1,54
2199,RER,1,170
2201,toasté,1,68
2204,Speke,1,52
2208,sagaie,1,58
2212,bimoteur,1,64
2214,Rhénanie,1,52
2215,coup de coeur,1,76
2218,sorbetière,1,62
2222,tram,1,154
2226,antan,1,54
2228,terne,1,184
2230,Bertolucci,1,52
2233,servis,1,68
2234,copuler,1,174
2238,Charles de Gaulle,1,82
2243,Trinidad,1,54
2253,barbouillis,1,52
2257,Proteus,1,52
2262,réunir,1,438
2263,improvisation,1,78
2264,désolé,1,120
2270,synclinal,1,54
2274,faire violence,1,52
2276,pantomime,1,52
2278,datte,1,86
2281,friponnerie,1,52
2288,internaute,1,68
2290,mannose,1,58
2291,accotement,1,74
2295,exode rural,1,56
2298,Morbihan,1,90
2299,coelome,1,54
2301,pillage,1,124
2305,perpendiculaire,1,66
2308,climat,1,624
2312,injuste,1,170
2313,hebdomadairement,1,54
2314,rital,1,60
2317,Mes nuits sont plus belles que vos jours,1,54
2319,ductile,1,58
2320,perlé,1,60
2321,se tasser,1,52
2333,ébahir,1,60
2335,percutant,1,56
2339,gouvernorat,1,52
2342,Misanthrope,1,52
2343,thrombose,1,106
2344,mouiller,1,630
2346,se cloîtrer,1,52
2351,envoilure,1,52
2359,antisèche,1,62
2361,désamour,1,66
2362,avorter,1,96
2371,capverdien,1,56
2377,impotence,1,52
2380,bernache,1,52
2382,diadème,1,106
2383,caboter,1,54
2384,spermatozoïde,1,240
2390,corpulent,1,78
2391,élancer,1,52
2392,cytodiérèse,1,52
2393,démasquer,1,80
2394,réjouir,1,76
2397,affichette,1,66
2399,changer de couleur,1,56
2403,challenge,1,134
2408,ecstasy,1,76
2410,ineffable,1,54
2417,cytoplasmique,1,54
2418,Kafka,1,82
2422,banquise,1,314
2424,fournaise,1,66
2429,biscornu,1,60
2430,randonner,1,144
2437,foisonner,1,60
2441,sévir,1,62
2442,vivre,1,2202
2444,émailler,1,58
2445,A320,1,58
2447,truite,1,406
2448,tresse,1,166
2449,opéra,1,1312
2450,nôm,1,52
2451,trinquer,1,122
2454,fréquentable,1,54
2455,inlay,1,58
2460,Lesbos,1,58
2461,lupin,1,56
2463,ordinateur portable,1,94
2471,poissonnière,1,72
2472,tricolore,1,84
2474,fringance,1,52
2477,besicles,1,54
2481,attroupement,1,60
2483,entre-temps,1,58
2484,inopportun,1,56
2486,inspirateur,1,54
2490,paille-en-queue,1,56
2491,Diane,1,66
2496,débiner,1,52
2498,se marier,1,306
2500,somali,1,52
2504,huchier,1,54
2512,délinquance,1,164
2515,criaillerie,1,52
2517,farsi,1,52
2523,ouaille,1,68
2524,ta gueule,1,104
2530,manitou,1,54
2534,Paul Eluard,1,58
2537,limettier,1,54
2544,paso doble,1,60
2546,physiologie,1,266
2547,glaiser,1,66
2548,handicaper,1,52
2553,personnel,1,534
2554,modal,1,56
2561,corollaire,1,54
2564,escargotière,1,56
2566,bau,1,52
2569,bât,1,62
2570,bit,1,110
2571,flipper,1,104
2572,marcheur,1,224
2577,fileur,1,56
2578,Dorset,1,52
2582,civière,1,86
2583,presse locale,1,56
2584,sagette,1,96
2586,ligné,1,58
2587,intoxication,1,286
2589,période glaciaire,1,52
2590,barrage-poids,1,54
2593,avancer en âge,1,66
2595,assoiffé,1,62
2596,en vrac,1,66
2601,auvent,1,72
2606,garancine,1,52
2608,jiu-jitsu,1,52
2609,levier,1,116
2619,taffetas,1,68
2622,purpurin,1,76
2623,ponce,1,58
2630,maquis,1,104
2631,traquer,1,110
2641,pot-de-vin,1,120
2642,péter,1,206
2643,alourdir,1,62
2648,sorgho,1,58
2650,multimilliardaire,1,58
2653,Sénat,1,76
2654,règlement de comptes,1,52
2655,justicier,1,130
2661,pipe-line,1,58
2663,intrépidité,1,72
2666,coucher,1,386
2667,prose,1,110
2668,hôtel particulier,1,54
2671,distraire,1,226
2674,diluant,1,54
2678,nymphe,1,238
2680,sang,1,3056
2686,ténacité,1,90
2689,rate,1,170
2690,fox,1,54
2693,bothriocéphalose,1,52
2694,dynamiser,1,54
2695,espère,1,52
2704,inexact,1,96
2707,éprouvant,1,72
2708,télébenne,1,52
2710,silex,1,180
2712,aristo,1,52
2715,gymnosperme,1,52
2723,Guérande,1,70
2724,Dario,1,52
2727,purifiant,1,54
2728,affinerie,1,52
2729,agencement,1,98
2733,parasynonyme,1,52
2743,syndactylie,1,52
2746,expurgé,1,52
2748,ultraviolet,1,62
2752,opérande,1,54
2757,halogénure,1,54
2760,détester,1,210
2764,discipliné,1,104
2768,indulgence,1,124
2775,hérisser,1,64
2780,rèche,1,52
2785,manganèse,1,72
2789,se bronzer,1,54
2791,pamphlétaire,1,58
2795,planque,1,100
2796,clairette,1,52
2805,cure-dent,1,60
2806,magnanimité,1,52
2808,spartiate,1,77
2812,cumul,1,60
2813,induline,1,54
2814,Gloucester,1,52
2817,triage,1,58
2822,khoisan,1,54
2826,cédrat,1,62
2827,chaland,1,92
2828,Université,1,52
2829,nerprun,1,52
2832,causette,1,72
2834,codeur,1,58
2835,suceur,1,52
2837,tulle,1,58
2843,raplati,1,52
2848,sans défaut,1,56
2860,monoplan,1,52
2861,M6,1,108
2863,déisme,1,52
2867,socle,1,82
2869,Abidjan,1,66
2877,mésoblaste,1,52
2879,intimation,1,68
2882,knock-out,1,60
2883,récrire,1,56
2885,bonnement,1,70
2890,ingratitude,1,74
2895,suspense,1,118
2899,cartographie,1,92
2900,foulage,1,52
2911,croc-en-jambe,1,62
2915,crottin,1,84
2916,dissiper,1,54
2919,interrogateur,1,64
2925,garde-chiourme,1,52
2932,potentiomètre,1,52
2934,crever,1,154
2938,location,1,368
2942,maraîchage,1,60
2947,rupin,1,56
2949,blockhaus,1,58
2954,grandissant,1,78
2959,saleté,1,448
2962,vénerie,1,54
2965,moyen terme,1,52
2966,sardane,1,58
2967,risque-tout,1,56
2975,lavure,1,62
2977,café-concert,1,70
2978,engraissement,1,108
2979,décoincer,1,54
2986,rudesse,1,78
2988,Richelieu,1,122
2989,hygromètre,1,60
2991,hybris,1,54
2993,cerne,1,80
2995,sciemment,1,72
2996,tord-boyaux,1,72
2997,secondaire,1,126
2998,t,1,216
3001,augurer,1,54
3002,fabuler,1,58
3009,cuirassé,1,78
3010,4,1,2114
3020,cæcum,1,60
3021,tréfonds,1,52
3026,pontifiant,1,52
3028,hippie,1,188
3030,consommé,1,104
3033,plectre,1,56
3038,pétrir,1,194
3046,défricher,1,64
3059,spot,1,70
3063,phénicien,1,56
3067,honorable,1,70
3069,Birmanie,1,82
3070,minimisation,1,52
3072,sociobiologie,1,54
3080,cravater,1,52
3082,sourcier,1,66
3087,créatif,1,76
3092,de génie,1,54
3097,bourlinguer,1,52
3100,futur antérieur,1,70
3108,soupçonneux,1,70
3113,travers,1,227
3114,inhabituel,1,90
3115,Vincennes,1,70
3118,augmenté,1,94
3121,éminemment,1,52
3122,caparaçon,1,56
3124,apatite,1,60
3129,fusion,1,296
3133,négligent,1,66
3134,honnête,1,350
3138,outrecuidant,1,60
3139,mauvaise humeur,1,364
3142,attribut,1,104
3143,social,1,276
3145,Corse,1,178
3152,schlinguer,1,112
3153,porte-cartes,1,118
3156,cafouillage,1,60
3159,parapharmacie,1,110
3162,atropine,1,54
3166,sinuosité,1,102
3168,schkoumoune,1,62
3169,John Fletcher,1,52
3171,net,1,336
3176,dénudé,1,156
3179,Debré,1,68
3181,ardemment,1,118
3192,épaississement,1,56
3194,micro-ordinateur,1,60
3200,Iliade,1,160
3201,Trois-Rivières,1,66
3206,épouvante,1,216
3215,sous-prolétariat,1,62
3218,bavarde,1,114
3219,se fatiguer,1,70
3221,faubourien,1,56
3225,savonnette,1,106
3229,meugler,1,68
3232,Machiavel,1,60
3233,partie,1,838
3240,protester,1,70
3244,entrelacer,1,66
3245,ismaélisme,1,52
3246,lobotomiser,1,56
3247,sympa,1,220
3248,réalisable,1,80
3249,décade,1,72
3256,impartialité,1,54
3257,intelligiblement,1,54
3258,Rouergue,1,56
3259,Dönitz,1,52
3264,alèse,1,84
3269,badminton,1,100
3271,clignoter,1,64
3273,masqué,1,80
3278,rectangulaire,1,98
3279,bey,1,52
3282,irréfléchi,1,82
3284,Indiana,1,54
3285,débit de boissons,1,102
3290,fonctionnalisme,1,52
3297,polygamie,1,72
3300,matelassé,1,96
3306,embêter,1,210
3311,paucité,1,58
3313,inhabileté,1,52
3314,bombe,1,1140
3318,papotage,1,78
3320,acide ribonucléique,1,122
3323,thym,1,278
3329,méat,1,76
3331,patio,1,52
3335,Dumas,1,100
3336,ingénuité,1,68
3337,alizarine,1,52
3342,polissoir,1,54
3343,racine,1,1040
3344,loriot,1,54
3347,coulée,1,292
3349,respectueux,1,116
3355,indéniable,1,108
3357,campus,1,196
3358,sans mesure,1,58
3359,gabardine,1,52
3361,saumon,1,350
3362,en roter,1,52
3365,Stradivarius,1,56
3366,lampiste,1,52
3367,de la main à la main,1,52
3369,en baver,1,66
3373,Taxi,1,56
3376,membres,1,148
3382,tournage,1,136
3383,welter,1,52
3384,se coltiner,1,62
3387,spasmodiquement,1,52
3394,représenter,1,196
3399,trous noirs,1,70
3400,souteneur,1,112
3401,y aller,1,60
3402,aquarelle,1,276
3403,lacéré,1,54
3404,libéré,1,156
3406,violoneux,1,68
3409,protestant,1,386
3413,Aztèques,1,54
3415,Warhol,1,52
3427,platitude,1,66
3430,Malaparte,1,68
3431,drogué,1,356
3433,littérature engagée,1,62
3434,affinement,1,52
3436,réquisitionné,1,56
3439,Henri Sauvage,1,56
3442,afro,1,66
3443,toréador,1,102
3457,Turenne,1,52
3458,Mitterrand,1,66
3461,vent,1,1646
3464,spirituel,1,76
3467,appétit,1,262
3468,satisfaire,1,134
3469,natter,1,76
3470,limpide,1,156
3473,potiron,1,158
3474,imbibition,1,54
3481,vieillerie,1,156
3485,Coco,1,88
3486,retirer,1,368
3489,décolletage,1,52
3490,barnache,1,52
3491,attitude,1,416
3498,spermatophyte,1,52
3500,néphéline,1,56
3504,post,1,70
3505,Padoue,1,76
3507,pioupiou,1,56
3508,plumage,1,188
3511,diphtérie,1,58
3513,incarcération,1,172
3524,kapo,1,52
3525,noceur,1,74
3529,abreuvoir,1,108
3530,triste,1,960
3534,métronidazole,1,52
3538,saint-bernard,1,54
3545,asticoter,1,74
3546,Staline,1,260
3547,verdoyer,1,58
3551,sigmoïde,1,60
3554,façonner,1,148
3555,informatisation,1,54
3556,Ulster,1,52
3558,culot,1,142
3559,rédhibitoire,1,52
3561,adjacent,1,52
3568,zonzon,1,54
3569,imminente,1,58
3573,bouchonné,1,56
3578,inlandsis,1,56
3579,succulence,1,52
3582,égyptologie,1,118
3586,chipeur,1,52
3588,perfectionner,1,60
3596,bruiner,1,66
3597,prouter,1,92
3599,va,1,52
3600,Gansu,1,54
3604,être mis en relief,1,56
3605,déboucher,1,160
3609,repoussé,1,70
3615,sabrer,1,86
3616,lamenter,1,56
3619,piscicole,1,90
3620,importuner,1,96
3623,assouplissement,1,82
3625,alors que,1,64
3628,chacunière,1,56
3633,se dévêtir,1,78
3637,ZAC,1,52
3642,grugé,1,52
3644,Crète,1,140
3648,prosternation,1,64
3658,gesticuler,1,68
3659,suffixation,1,52
3662,blessable,1,64
3664,marque déposée,1,54
